"","Price","ProductGroup12MSalesSplit","12MonthWMPSold","AuctionPrice","EventDuration","MaxSupply","MinSupply","ParticipatingBidders","QualifiedBidders","QuantitySold","TotalRounds","12MonthAllProdSold","WinningBidders","EventMonth"
"1056",2309,56.8,557780,2412,117,28455,26740,148,642,27711,12,981584,115,6
"1066",2694,56.8,480403,2735,112,35215,33375,163,639,34519,12,845841,127,10
"1076",2252,50.6,364717,2283,120,18925,16735,155,623,18113,14,720911,111,5
"1086",3010,53.2,347420,3310,125,25915,21510,200,517,23319,14,653139,129,1
"1096",3114,51.1,333975,3387,145,28343,24020,160,525,26688,17,653910,115,7
"1106",1974,52.6,405143,2253,131,24520,22125,160,607,21880,14,769585,122,3
"1116",3317,48.6,343301,3327,143,29305,24725,166,510,27735,17,707104,107,11
"1126",1856,56.9,517461,1974,166,37400,35275,177,621,36904,17,910034,136,8
"1136",2874,57.7,627410,3042,173,28705,26927,169,688,28000,16,1088074,111,2
"1145",3658,57.2,542372,3807,161,32568,30611,193,690,31984,15,948880,124,6
"1155",3278,53.8,365946,3477,137,18870,15810,169,514,17222,16,679804,123,4
"1165",2270,56.9,609392,2609,155,35745,34270,176,667,35390,14,1071880,126,12
"1175",2729,52.6,347288,2885,139,45780,38275,183,511,41945,15,660652,137,10
"1185",2229,56.9,611599,2513,117,39935,38370,177,689,39273,11,1074552,128,12
"1195",2013,51.5,384293,2188,135,24682,21912,163,615,22682,15,745481,119,4
