"Date","AMF_Price","AMF_QtySold","BMP_Price","BMP_QtySold","BUT_Price","BUT_QtySold","SMP_Price","SMP_QtySold","WMP_Price","WMP_QtySold","Qualified.Bidders","Participating.Bidders","Winning.Bidders","Rounds","Duration","World.Price..US...and.SDRs"
2015-07-01,2855,33200,1878,33200,2694,33200,1875,33200,2054,33200,652,158,140,11,106,184.6568347
2015-07-15,2621,31691,1794,31691,2460,31691,1702,31691,1848,31691,628,135,130,10,96,184.6568347
2015-08-04,2253,46527,1700,46527,2293,46527,1419,46527,1590,46527,637,152,142,12,117,165.9769589
2015-08-18,2724,36904,1400,36904,2541,36904,1521,36904,1856,36904,621,177,136,17,166,165.9769589
2015-09-01,3029,35865,1829,35865,2746,35865,1698,35865,2078,35865,635,166,116,16,157,191.0202164
2015-09-15,3440,36050,1719,36050,3108,36050,1992,36050,2495,36050,639,186,121,18,182,191.0202164
2015-10-06,3763,35243,1945,35243,3037,35243,2267,35243,2824,35243,635,180,119,17,157,225.2898405
2015-10-20,3856,34519,2064,34519,2850,34519,2178,34519,2694,34519,639,163,127,12,112,225.2898405
2015-11-03,3647,33997,1844,33997,2574,33997,2018,33997,2453,33997,643,151,132,10,92,204.1341388
2015-11-17,3430,30044,1825,30044,2709,30044,1851,30044,2148,30044,609,141,117,13,115,204.1341388
2015-12-01,3519,28158,1729,28158,3009,28158,1918,28158,2260,28158,613,161,121,15,132,196.8904883
2015-12-15,3721,24888,1564,24888,3136,24888,1891,24888,2304,24888,613,161,112,10,99,196.8904883
2016-01-05,3644,25671,1586,25671,3314,25671,1890,25671,2210,25671,616,166,127,12,114,188.3727913
2016-01-19,3724,21930,1620,21930,3162,21930,1835,21930,2188,21930,616,156,115,11,107,188.3727913
2016-02-02,3486,24474,1513,24474,2905,24474,1792,24474,1952,24474,619,144,124,11,100,183.640432
2016-02-16,3527,22021,1496,22021,2834,22021,1762,22021,1890,22021,604,151,115,14,118,183.640432
2016-03-01,3254,21880,1452,21880,2811,21880,1802,21880,1974,21880,607,160,122,14,131,175.4632272
2016-03-15,3014,20406,1545,20406,2733,20406,1731,20406,1971,20406,606,134,118,13,117,175.4632272
2016-04-05,3203,22682,1395,22682,2702,22682,1721,22682,2013,22682,615,163,119,15,135,172.7364281
2016-04-19,3240,21206,1460,21206,2746,21206,1727,21206,2156,21206,617,163,114,13,118,172.7364281
2016-05-03,3195,20615,1366,20615,2601,20615,1676,20615,2176,20615,620,147,118,12,106,172.5435081
2016-05-17,3340,18113,1545,18113,2697,18113,1658,18113,2252,18113,623,155,111,14,120,172.5435081
2016-06-01,3444,24046,1765,24046,2762,24046,1867,24046,2205,24046,614,161,108,18,151,180.7998913
2016-06-15,3619,23089,1695,23089,2910,23089,1901,23089,2118,23089,601,168,114,13,117,180.7998913
2016-07-05,3621,32500,1552,32500,2828,32500,1938,32500,2062,32500,602,164,133,15,136,188.1446878
2016-07-19,3628,31348,1565,31348,2687,31348,1927,31348,2079,31348,603,168,133,13,120,188.1446878
2016-08-02,3797,34928,1661,34928,2871,34928,1965,34928,2265,34928,605,180,138,12,118,203.7052119
2016-08-16,4148,37766,1983,37766,3274,37766,2028,37766,2695,37766,606,177,119,17,156,203.7052119
2016-09-06,4769,36748,2070,36748,3764,36748,2224,36748,2793,36748,613,199,131,14,129,234.2713513
2016-09-20,4998,35086,2276,35086,3892,35086,2293,35086,2782,35086,616,175,129,13,115,234.2713513
2016-10-04,4954,33937,2408,33937,3891,33937,2209,33937,2681,33937,617,166,125,13,111,237.824935
2016-10-18,5007,31525,2583,31525,3984,31525,2204,31525,2760,31525,620,164,115,10,92,237.824935
2016-11-01,5146,27735,2248,27735,4146,27735,2329,27735,3317,27735,510,166,107,17,143,251.7316511
2016-11-15,5348,23902,2623,23902,4193,23902,2562,23902,3423,23902,510,164,106,18,141,251.7316511
2016-12-06,5500,22472,2408,22472,4262,22472,2570,22472,3593,22472,516,159,109,13,117,261.4929493
2016-12-20,5367,22321,2874,22321,4290,22321,2621,22321,3568,22321,520,168,123,13,112,261.4929493
2017-01-03,5352,22396,2670,22396,4308,22396,2660,22396,3294,22396,523,151,120,13,117,260.5057809
2017-01-17,5528,22030,2783,22030,4382,22030,2612,22030,3283,22030,526,178,113,10,93,260.5057809
2017-02-07,5765,21273,2254,21273,4593,21273,2608,21273,3314,21273,530,172,104,12,106,263.5321726
2017-02-21,5693,20479,2090,20479,4598,20479,2574,20479,3189,20479,530,149,114,12,97,263.5321726
2017-03-07,5653,22328,1846,22328,4653,22328,2118,22328,2782,22328,530,134,113,10,89,258.8134726
2017-03-21,5799,22498,3101,22498,4910,22498,1948,22498,2855,22498,533,154,113,12,109,258.8134726
2017-04-04,5936,22642,1588,22642,4751,22642,1913,22642,2924,22642,537,157,118,13,111,252.2187332
2017-04-18,5930,22927,1720,22927,4892,22927,2044,22927,2998,22927,541,173,130,14,125,252.2187332
2017-05-02,6185,22633,1859,22633,4911,22633,1982,22633,3233,22633,548,163,106,15,139,261.6866298
2017-05-16,6631,21236,1980,21236,5479,21236,1998,21236,3312,21236,553,164,103,19,153,261.6866298
2017-06-06,6569,22004,2092,22004,5631,22004,2156,22004,3143,22004,563,183,125,16,145,269.2637357
2017-06-20,6885,21171,3434,21171,5768,21171,2218,21171,3022,21171,522,160,111,21,168,269.2637357
2017-07-04,6596,28574,2264,28574,5775,28574,2090,28574,3111,28574,523,165,127,19,157,273.0517435
2017-07-18,6577,26688,3387,26688,6004,26688,2024,26688,3114,26688,525,160,115,17,145,273.0517435
2017-08-01,6289,32768,2198,32768,5747,32768,1966,32768,3155,32768,521,162,129,14,126,271.8315754
2017-08-15,6199,32260,3339,32260,5735,32260,1968,32260,3143,32260,522,174,140,13,118,271.8315754
2017-09-05,6402,33501,2026,33501,5954,33501,1944,33501,3100,33501,537,173,140,15,134,272.8969239
2017-09-19,6764,34117,3368,34117,6026,34117,1920,34117,3122,34117,539,174,134,17,140,272.8969239
2017-10-03,6504,37990,1804,37990,5837,37990,1895,37990,3037,37990,541,149,132,16,135,264.4941437
2017-10-17,6841,35669,3204,35669,5736,35669,1797,35669,3014,35669,544,165,137,16,137,264.4941437
2017-11-07,6894,35072,1931,35072,5516,35072,1818,35072,2852,35072,554,165,133,14,129,251.3301073
2017-11-21,6887,35042,2970,35042,5144,35042,1701,35042,2778,35042,557,160,139,14,114,251.3301073
2017-12-05,6836,29514,1957,29514,4575,29514,1774,29514,2830,29514,563,160,123,13,119,237.3209414
2017-12-19,6392,29592,2969,29592,4474,29592,1675,29592,2755,29592,509,167,139,13,120,237.3209414
2018-01-02,6405,25400,1866,25400,4501,25400,1699,25400,2886,25400,516,158,112,16,128,240.451823
2018-01-16,6547,23319,3310,23319,4897,23319,1818,23319,3010,23319,517,200,129,14,125,240.451823
2018-02-06,6581,22197,2039,22197,5277,22197,1932,22197,3226,22197,524,188,126,15,138,254.9544863
2018-02-20,6458,20256,3623,20256,5334,20256,1832,20256,3246,20256,527,152,114,14,125,254.9544863
2018-03-06,6245,19292,1959,19292,5280,19292,2051,19292,3232,19292,529,174,130,22,162,262.6970444
2018-03-20,6249,18635,3632,18635,5281,18635,1887,18635,3226,18635,513,170,125,14,115,262.6970444
2018-04-03,5806,17222,1988,17222,5494,17222,1849,17222,3278,17222,514,169,123,16,137,269.8969554
2018-04-17,6120,19262,3587,19262,5654,19262,1913,19262,3311,19262,518,182,102,16,129,269.8969554
2018-05-01,6032,19508,1990,19508,5647,19508,1999,19508,3231,19508,519,150,97,14,127,274.0741456
2018-05-15,6354,18161,3637,18161,5787,18161,2047,18161,3226,18161,527,164,111,14,121,274.0741456
2018-06-05,6222,21580,2314,21580,5581,21580,2051,21580,3205,21580,519,179,118,15,130,271.3458755
2018-06-19,6060,21634,3481,21634,5611,21634,2003,21634,3189,21634,522,165,127,14,121,271.3458755
2018-07-03,5937,26519,2480,26519,5390,26519,1913,26519,2905,26519,524,152,118,13,115,253.8014665
2018-07-17,5629,25454,2225,25454,4953,25454,1959,25454,2973,25454,524,168,126,15,125,253.8014665
2018-08-07,5709,34076,2441,34076,4802,34076,1972,34076,2958,34076,529,191,126,13,119,250.2359882
2018-08-21,5321,32041,3044,32041,4392,32041,1951,32041,2883,32041,534,158,126,13,117,250.2359882
2018-09-04,5316,38811,2474,38811,4271,38811,2005,38811,2821,38811,541,178,126,19,163,239.425295
2018-09-18,5294,39143,2934,39143,4270,39143,1980,39143,2768,39143,503,179,149,15,134,239.425295
2018-10-02,5069,41981,2522,41981,4016,41981,1982,41981,2753,41981,506,170,143,15,148,232.0411662
2018-10-16,5106,41945,2885,41945,4114,41945,1977,41945,2729,41945,511,183,137,15,139,232.0411662
2018-11-06,5044,42412,2568,42412,4045,42412,1997,42412,2655,42412,517,173,142,18,182,228.1713424
2018-11-20,4577,42966,2727,42966,3637,42966,1965,42966,2599,42966,503,170,143,15,124,228.1713424
2018-12-04,4755,36450,2973,36450,3745,36450,1970,36450,2667,36450,507,178,139,18,136,228.1713424
2018-12-18,4936,36181,2844,36181,3928,36181,2042,36181,2674,36181,514,184,143,13,122,228.1713424
2019-01-02,5137,28651,3252,28651,4076,28651,2201,28651,2705,28651,515,167,115,15,149,228.1713424
