,EventDate,Date,"World Price, US$, and SDRs",New Zealand dollar,AveragePublishedPrice,ChangeInPriceIndex,EventDuration,MaxSupply,MinSupply,ParticipatingBidders,QualifiedBidders,QuantitySold,TotalRounds,TwelveMonthQtySold,WinningBidders,EventMonth
58,05/16/16,May-16,172.5435081,135.9076762,2283,2.6,120,18925,16735,155,623,18113,14,720911,111,5
59,05/31/16,May-16,172.5435081,135.9076762,2329,3.4,151,25217,21680,161,614,24046,18,719834,108,5
60,06/14/16,Jun-16,180.7998913,138.0430653,2339,0,117,24680,21181,168,601,23089,13,718146,114,6
61,07/04/16,Jul-16,188.1446878,141.4950629,2345,-0.4,136,35240,30614,164,602,32500,15,697408,133,7
62,07/18/16,Jul-16,188.1446878,141.4950629,2336,0,120,33620,29195,168,603,31348,13,693018,133,7
63,08/01/16,Aug-16,203.7052119,151.1097517,2436,6.6,118,37290,31725,180,605,34928,12,713633,138,8
64,08/15/16,Aug-16,203.7052119,151.1097517,2731,12.7,156,40765,35085,177,606,37766,17,704377,119,8
65,09/05/16,Sep-16,234.2713513,171.8054016,2920,7.7,129,39705,34200,199,613,36748,14,674177,131,9
66,09/19/16,Sep-16,234.2713513,171.8054016,2975,1.7,115,37435,32270,175,616,35086,13,673219,129,9
67,10/03/16,Oct-16,237.824935,178.0673346,2880,-3,111,35760,30775,166,617,33937,13,672519,125,10
68,10/17/16,Oct-16,237.824935,178.0673346,2965,1.4,92,33080,28550,164,620,31525,10,672176,115,10
69,10/31/16,Oct-16,237.824935,178.0673346,3327,11.4,143,29305,24725,166,510,27735,17,707104,107,10
70,11/14/16,Nov-16,251.7316511,188.7227179,3519,4.5,141,25980,21815,164,510,23902,18,698343,106,11
71,12/05/16,Dec-16,261.4929493,199.3473573,3622,3.5,117,24570,20520,159,516,22472,13,662322,109,12
72,12/19/16,Dec-16,261.4929493,199.3473573,3656,-0.5,112,23760,19875,168,520,22321,13,661358,123,12
73,01/02/17,Jan-17,260.5057809,196.3354554,3463,-3.9,117,23825,19930,151,523,22396,13,695295,120,1
74,01/16/17,Jan-17,260.5057809,196.3354554,3517,0.6,93,23325,19555,178,526,22030,10,691577,113,1
75,02/06/17,Feb-17,263.5321726,195.5549404,3537,1.3,106,22735,19065,172,530,21273,12,650796,104,2
76,02/20/17,Feb-17,263.5321726,195.5549404,3474,-3.2,97,22205,18795,149,530,20479,12,644654,114,2
77,03/06/17,Mar-17,258.8134726,197.9742804,3512,-6.3,89,24025,20440,134,530,22328,10,638968,113,3
78,03/20/17,Mar-17,258.8134726,197.9742804,3101,1.7,109,24423,20933,154,533,22498,12,636401,113,3
79,04/03/17,Apr-17,252.2187332,193.9253515,3005,1.6,111,24960,21330,157,537,22642,13,658797,118,4
80,04/17/17,Apr-17,252.2187332,193.9253515,3139,3.1,125,24435,20890,173,541,22927,14,655156,130,4
81,05/01/17,May-17,261.6866298,201.7998169,3166,3.6,139,24328,20380,163,548,22633,15,633226,106,5
82,05/15/17,May-17,261.6866298,201.7998169,3313,3.2,153,22398,19130,164,553,21236,19,630025,103,5
83,06/05/17,Jun-17,269.2637357,199.6251617,3395,0.6,145,23566,19705,183,563,22004,16,628931,125,6
84,06/19/17,Jun-17,269.2637357,199.6251617,3434,-0.8,168,22464,19055,160,522,21171,21,631023,111,6
85,07/03/17,Jul-17,273.0517435,198.9700474,3303,-0.4,157,30043,25640,165,523,28574,19,653665,127,7
86,07/17/17,Jul-17,273.0517435,198.9700474,3387,0.2,145,28343,24020,160,525,26688,17,653910,115,7
87,07/31/17,Jul-17,273.0517435,198.9700474,3343,-1.6,126,35510,29840,162,521,32768,14,655337,129,7
88,08/14/17,Aug-17,271.8315754,199.5129765,3339,-0.4,118,34445,29065,174,522,32260,13,655958,140,8
89,09/04/17,Sep-17,272.8969239,201.6561809,3323,0.3,134,37265,31430,173,537,33501,15,635803,140,9
90,09/18/17,Sep-17,272.8969239,201.6561809,3368,0.9,140,37190,31540,174,539,34117,17,633885,134,9
91,10/02/17,Oct-17,264.4941437,201.183976,3223,-2.4,135,39615,33610,149,541,37990,16,662459,132,10
92,10/16/17,Oct-17,264.4941437,201.183976,3204,-1,137,38240,32800,165,544,35669,16,656647,137,10
93,11/06/17,Nov-17,251.3301073,195.5749834,3105,-3.5,129,38240,32575,165,554,35072,14,623139,133,11
94,11/20/17,Nov-17,251.3301073,195.5749834,2970,-3.4,114,37235,32000,160,557,35042,14,617633,139,11
95,12/04/17,Dec-17,237.3209414,182.5558179,3091,0.4,119,32675,27645,160,563,29514,13,651134,123,12
96,12/18/17,Dec-17,237.3209414,182.5558179,2969,-3.9,120,32605,27620,167,509,29592,13,648503,139,12
97,01/01/18,Jan-18,240.451823,177.6460057,3124,2.2,128,27805,23005,158,516,25400,16,651407,112,1
98,01/15/18,Jan-18,240.451823,177.6460057,3310,4.9,125,25915,21510,200,517,23319,14,653139,129,1
99,02/05/18,Feb-18,254.9544863,186.8743482,3553,5.9,138,24380,19995,188,524,22197,15,628951,126,2
