AveragePublishedPrice,PriceIndexPercentageChange,ProductGroup12MSalesSplit,ProductGroupCode,ProductGroupGUID,ProductGroupName,ProductSold,SupplyOffered,TwelveMonthQtySold,key
,,,MPC70,,Milk Protein Concentrate 70,FALSE,FALSE,,121e4b0b-c3bc-4b6d-919f-8f46d71dc903
6849,4.8,1.6,RenCas,e790a1ae-c7bd-427b-b86c-2e20659cb191,Rennet Casein,TRUE,TRUE,10080,121e4b0b-c3bc-4b6d-919f-8f46d71dc903
2156,7.9,22.9,SMP,836fed4e-1319-4c57-8ddb-5c85f98b5083,Skimmilk Powders,TRUE,TRUE,143996,121e4b0b-c3bc-4b6d-919f-8f46d71dc903
,,,SWP,,Sweet Whey Powder,FALSE,FALSE,,121e4b0b-c3bc-4b6d-919f-8f46d71dc903
3143,-2.9,50.4,WMP,948f6ce7-1034-4290-80f9-b545665476e9,Wholemilk Powders,TRUE,TRUE,316916,121e4b0b-c3bc-4b6d-919f-8f46d71dc903
3486,-6.6,10.2,AMF,09dde320-ae47-4fe2-8154-d50d4e9af2cd,Anhydrous Milkfat,TRUE,TRUE,81213,132c2917-e34f-4994-bbf7-ea486b1da575
2905,-8.3,7.1,Butter,a7f2f2fa-2815-4d23-89e4-ae4f9e48b612,Butter,TRUE,TRUE,56445,132c2917-e34f-4994-bbf7-ea486b1da575
1513,-6.7,1.1,BMP,dd2578b1-b140-4070-8aca-c6b237fc19dc,Buttermilk Powders,TRUE,TRUE,8940,132c2917-e34f-4994-bbf7-ea486b1da575
2807,-4.2,4.6,Ched,cd8068f7-55f3-4dcf-9cec-88abb33c6999,Cheddar Cheese,TRUE,TRUE,36808,132c2917-e34f-4994-bbf7-ea486b1da575
577,-2.6,0.5,LAC,80aacdc8-0353-429a-a966-cec87d1c320b,Lactose,TRUE,TRUE,4040,132c2917-e34f-4994-bbf7-ea486b1da575
,,,MPC70,,Milk Protein Concentrate 70,FALSE,FALSE,,132c2917-e34f-4994-bbf7-ea486b1da575
4362,-3.7,1.4,RenCas,8edc64d2-9eb5-47e4-80b2-65319d5cf341,Rennet Casein,TRUE,TRUE,10850,132c2917-e34f-4994-bbf7-ea486b1da575
1792,-2.2,21.7,SMP,a5d92cfd-531b-4b7c-9eb4-1351dc8f36e7,Skimmilk Powders,TRUE,TRUE,172708,132c2917-e34f-4994-bbf7-ea486b1da575
,,,SWP,,Sweet Whey Powder,FALSE,FALSE,,132c2917-e34f-4994-bbf7-ea486b1da575
1952,-10.4,53.2,WMP,aa896bb1-f6af-47aa-be3e-1a4e24a6a294,Wholemilk Powders,TRUE,TRUE,423911,132c2917-e34f-4994-bbf7-ea486b1da575
2855,1.6,8.4,AMF,a3362b57-b304-47c9-95a6-a70efeed5583,Anhydrous Milkfat,TRUE,TRUE,79377,14fa771b-2c4f-41e2-a149-bfa03b100638
2694,-0.3,6,Butter,8a96af34-d44d-470b-8e70-84a94e9a551a,Butter,TRUE,TRUE,57031,14fa771b-2c4f-41e2-a149-bfa03b100638
1878,-8.1,0.9,BMP,b14968e2-59cb-4a61-8821-2a3e85cc28d1,Buttermilk Powders,TRUE,TRUE,8732,14fa771b-2c4f-41e2-a149-bfa03b100638
3060,-4.9,4.2,Ched,43fd3cc5-0127-4030-8e6c-b044d5be0549,Cheddar Cheese,TRUE,TRUE,39386,14fa771b-2c4f-41e2-a149-bfa03b100638
,,0,LAC,99d22806-e707-4e66-9327-78a55e800350,Lactose,TRUE,TRUE,150,14fa771b-2c4f-41e2-a149-bfa03b100638
,,,MPC70,,Milk Protein Concentrate 70,FALSE,FALSE,,14fa771b-2c4f-41e2-a149-bfa03b100638
5901,-4.1,1,RenCas,0bdcc973-b41c-4bf8-aef7-b6dd5c3e2bb6,Rennet Casein,TRUE,TRUE,9858,14fa771b-2c4f-41e2-a149-bfa03b100638
1875,-5.8,22.3,SMP,8e3bc003-288b-4f47-bba0-c6acd29c70f5,Skimmilk Powders,TRUE,TRUE,210332,14fa771b-2c4f-41e2-a149-bfa03b100638
,,,SWP,,Sweet Whey Powder,FALSE,FALSE,,14fa771b-2c4f-41e2-a149-bfa03b100638
2054,-10.8,56.9,WMP,4d0e6406-0e0b-40e7-a583-5c62c4117a7f,Wholemilk Powders,TRUE,TRUE,537437,14fa771b-2c4f-41e2-a149-bfa03b100638
3117,-5,8.7,AMF,ac92a5ce-266f-4506-b1b1-811b2bef02cd,Anhydrous Milkfat,,TRUE,94189,173dccbc-838e-4282-a73f-39322887671e
2514,-6.6,6.5,Butter,7c4358e8-bc4f-49ae-896e-ef7f9239aeda,Butter,,TRUE,69677,173dccbc-838e-4282-a73f-39322887671e
2723,-11.3,0.8,BMP,4b23c24d-965f-479a-a460-c85edb905749,Buttermilk Powders,,TRUE,8251,173dccbc-838e-4282-a73f-39322887671e
3028,-1.2,2.8,Ched,1f9db812-b3c5-42b3-920d-246961fad060,Cheddar Cheese,,TRUE,30491,173dccbc-838e-4282-a73f-39322887671e
,,,LAC,,Lactose,,FALSE,,173dccbc-838e-4282-a73f-39322887671e
,,,MPC70,,Milk Protein Concentrate 70,,FALSE,,173dccbc-838e-4282-a73f-39322887671e
8224,-1.4,0.8,RenCas,7f2862fb-c6df-4870-bc5f-509b420c4464,Rennet Casein,,TRUE,8288,173dccbc-838e-4282-a73f-39322887671e
2540,-2.7,23,SMP,c3500e35-313e-4ed9-84d7-08548aa7075b,Skimmilk Powders,,TRUE,247879,173dccbc-838e-4282-a73f-39322887671e
1175,-9.3,,SWP,eabd1b87-4e86-4120-99d9-46a66271b40e,Sweet Whey Powder,,TRUE,,173dccbc-838e-4282-a73f-39322887671e
2443,-10,57,WMP,f530eafc-a83c-41a6-aac9-e317e59ae90b,Wholemilk Powders,,TRUE,615592,173dccbc-838e-4282-a73f-39322887671e
3029,11.7,8.8,AMF,cf21bc7e-ea9b-4c09-b93e-74baf7aba1eb,Anhydrous Milkfat,TRUE,TRUE,79654,189ebbec-5440-4a2e-a895-91b5ebd30c75
2746,8.1,5.9,Butter,ccb9d88c-3134-4006-b0a9-9ada3c302587,Butter,TRUE,TRUE,52978,189ebbec-5440-4a2e-a895-91b5ebd30c75
1829,30,1,BMP,c08051ee-2a71-4633-9e0d-96404e6f458e,Buttermilk Powders,TRUE,TRUE,9262,189ebbec-5440-4a2e-a895-91b5ebd30c75
2913,4.7,4.3,Ched,33c63abe-619a-4d96-b341-c9d98801f1e1,Cheddar Cheese,TRUE,TRUE,38476,189ebbec-5440-4a2e-a895-91b5ebd30c75
483,-4,0.1,LAC,ad24ead8-b3d3-44e0-8812-dcaf7c4fb2f1,Lactose,TRUE,TRUE,1185,189ebbec-5440-4a2e-a895-91b5ebd30c75
,,,MPC70,,Milk Protein Concentrate 70,FALSE,FALSE,,189ebbec-5440-4a2e-a895-91b5ebd30c75
5779,6.3,1.2,RenCas,0826a39b-0579-482e-b213-b0fc1c5b57d1,Rennet Casein,TRUE,TRUE,10580,189ebbec-5440-4a2e-a895-91b5ebd30c75
1698,11.7,21.4,SMP,b513d5cd-fa24-40d7-bd31-a9ff3c55aeb0,Skimmilk Powders,TRUE,TRUE,193175,189ebbec-5440-4a2e-a895-91b5ebd30c75
,,,SWP,,Sweet Whey Powder,FALSE,FALSE,,189ebbec-5440-4a2e-a895-91b5ebd30c75
2078,12.1,57.1,WMP,0ecf04ec-62b9-451b-b703-3bddd58e37e4,Wholemilk Powders,TRUE,TRUE,516497,189ebbec-5440-4a2e-a895-91b5ebd30c75
4237,-2.2,8.4,AMF,3504e3ec-ead6-446f-a93e-ede99c2eea02,Anhydrous Milkfat,TRUE,TRUE,89198,1a3a5f9e-a87c-4003-99d1-f0bd24518e0e
3912,2.5,6.1,Butter,d449ebf6-0818-48ee-a239-77ab1b762e6c,Butter,TRUE,TRUE,65129,1a3a5f9e-a87c-4003-99d1-f0bd24518e0e
2681,6.8,0.8,BMP,91f5be41-6d7c-488b-9bd3-44e68731cff7,Buttermilk Powders,TRUE,TRUE,8337,1a3a5f9e-a87c-4003-99d1-f0bd24518e0e
3377,10.8,3.4,Ched,d0b65bf9-699d-4ba9-95f6-0b99cf5a6505,Cheddar Cheese,TRUE,TRUE,36106,1a3a5f9e-a87c-4003-99d1-f0bd24518e0e
,,,LAC,,Lactose,FALSE,FALSE,,1a3a5f9e-a87c-4003-99d1-f0bd24518e0e
,,,MPC70,,Milk Protein Concentrate 70,FALSE,FALSE,,1a3a5f9e-a87c-4003-99d1-f0bd24518e0e
8694,-0.7,0.9,RenCas,2314af3e-e468-4f87-aca1-a0f5e0fbbc8a,Rennet Casein,TRUE,TRUE,9093,1a3a5f9e-a87c-4003-99d1-f0bd24518e0e
2935,5.9,22.5,SMP,c8c1d435-b9a4-4da6-9c17-c4f37629c29e,Skimmilk Powders,TRUE,TRUE,239716,1a3a5f9e-a87c-4003-99d1-f0bd24518e0e
,,0.1,SWP,4283e212-23c9-4792-ab02-463a5556e36b,Sweet Whey Powder,TRUE,TRUE,1261,1a3a5f9e-a87c-4003-99d1-f0bd24518e0e
3241,-1,57.6,WMP,995b25fe-a798-4159-b3c3-a04ff3065cfa,Wholemilk Powders,TRUE,TRUE,613979,1a3a5f9e-a87c-4003-99d1-f0bd24518e0e
6631,8.2,11.4,AMF,f46ef532-6c73-49c6-a6e6-1a7f5a8bb97a,Anhydrous Milkfat,TRUE,TRUE,71993,1cc4c160-2636-4205-ae0f-7a18c3ab99fd
5479,11.2,7.2,Butter,2d1bb0e9-7421-4cb4-82e9-17b92d72f2a0,Butter,TRUE,TRUE,45392,1cc4c160-2636-4205-ae0f-7a18c3ab99fd
1980,7,1.4,BMP,87495b5c-faf8-4a3f-8f55-847087a2d8e2,Buttermilk Powders,TRUE,TRUE,8733,1cc4c160-2636-4205-ae0f-7a18c3ab99fd
3726,0.6,3.8,Ched,fc4bd223-5470-4a6a-941a-870fa5e5a014,Cheddar Cheese,TRUE,TRUE,24077,1cc4c160-2636-4205-ae0f-7a18c3ab99fd
967,2,1.8,LAC,d229dd2e-49ac-4579-994c-b892a8173449,Lactose,TRUE,TRUE,11108,1cc4c160-2636-4205-ae0f-7a18c3ab99fd
,,,MPC70,,Milk Protein Concentrate 70,FALSE,FALSE,,1cc4c160-2636-4205-ae0f-7a18c3ab99fd
6259,-3.7,1.7,RenCas,98dbd031-2dbd-45f3-857c-bff3ce94339d,Rennet Casein,TRUE,TRUE,10435,1cc4c160-2636-4205-ae0f-7a18c3ab99fd
1998,1,23.1,SMP,7bad3629-665b-433c-8c2d-e12a0d12dc76,Skimmilk Powders,TRUE,TRUE,145776,1cc4c160-2636-4205-ae0f-7a18c3ab99fd
,,,SWP,,Sweet Whey Powder,FALSE,FALSE,,1cc4c160-2636-4205-ae0f-7a18c3ab99fd
3312,1.3,49.6,WMP,a22a4bd6-402a-4287-8a31-4b632b82b4b4,Wholemilk Powders,TRUE,TRUE,312511,1cc4c160-2636-4205-ae0f-7a18c3ab99fd
6764,5.3,9.5,AMF,4d6ca53c-c876-4acc-909b-af28db0350ca,Anhydrous Milkfat,TRUE,TRUE,60485,1cdddb8c-9c88-4538-97d7-c02138916da6
6026,1.2,6.3,Butter,841127c0-cdea-4cd0-bf63-e4b65c1ef1b5,Butter,TRUE,TRUE,40038,1cdddb8c-9c88-4538-97d7-c02138916da6
,,,BMP,,Buttermilk Powders,FALSE,FALSE,,1cdddb8c-9c88-4538-97d7-c02138916da6
4032,-1.9,3.8,Ched,3c665cc9-d942-41a8-84ba-0ae15c2fb121,Cheddar Cheese,TRUE,TRUE,24361,1cdddb8c-9c88-4538-97d7-c02138916da6
759,-3.8,1.7,LAC,4ec46e08-87a8-4050-8aa2-ee7a93a44b7b,Lactose,TRUE,TRUE,10722,1cdddb8c-9c88-4538-97d7-c02138916da6
,,,MPC70,,Milk Protein Concentrate 70,FALSE,FALSE,,1cdddb8c-9c88-4538-97d7-c02138916da6
6036,-2.4,1.8,RenCas,9e55ffba-1719-4ee4-af64-c6b2d055cbd8,Rennet Casein,TRUE,TRUE,11176,1cdddb8c-9c88-4538-97d7-c02138916da6
1920,-1.2,23,SMP,ea2f707f-db9f-49d2-87d5-86201fc76452,Skimmilk Powders,TRUE,TRUE,146095,1cdddb8c-9c88-4538-97d7-c02138916da6
,,,SWP,,Sweet Whey Powder,FALSE,FALSE,,1cdddb8c-9c88-4538-97d7-c02138916da6
3122,0.6,52.4,WMP,8e37d4e4-c5bd-4375-b450-9f585f92af9f,Wholemilk Powders,TRUE,TRUE,332311,1cdddb8c-9c88-4538-97d7-c02138916da6
5709,1.2,9,AMF,d9641527-2420-49d6-9c86-7a11918d0ee9,Anhydrous Milkfat,TRUE,TRUE,57765,1f426123-4b7f-4f46-808a-763a67371762
4802,-3.2,6.8,Butter,71d036b1-cafd-408b-b1a0-c38382014798,Butter,TRUE,TRUE,43539,1f426123-4b7f-4f46-808a-763a67371762
2441,-5.9,1.3,BMP,1aa5c78f-5a4c-4341-a425-bdd542dff79b,Buttermilk Powders,TRUE,TRUE,8015,1f426123-4b7f-4f46-808a-763a67371762
3663,1.3,4,Ched,ebd79227-72d9-4b89-bdc0-71db1a8d753a,Cheddar Cheese,TRUE,TRUE,25493,1f426123-4b7f-4f46-808a-763a67371762
,,1.1,LAC,1d127886-1b9a-48e9-91d5-2368dc2005ad,Lactose,TRUE,TRUE,7167,1f426123-4b7f-4f46-808a-763a67371762
,,,MPC70,,Milk Protein Concentrate 70,FALSE,FALSE,,1f426123-4b7f-4f46-808a-763a67371762
4971,8,1.6,RenCas,079d8494-a0e3-4076-be5d-53d93a107fa2,Rennet Casein,TRUE,TRUE,10279,1f426123-4b7f-4f46-808a-763a67371762
1972,-0.3,23.9,SMP,ee2836e2-64cd-43ea-901a-8c947cb3260b,Skimmilk Powders,TRUE,TRUE,153144,1f426123-4b7f-4f46-808a-763a67371762
,,,SWP,,Sweet Whey Powder,FALSE,TRUE,,1f426123-4b7f-4f46-808a-763a67371762
2958,0.1,52.3,WMP,2019a228-80af-49c2-bbd0-9b148b88d9bb,Wholemilk Powders,TRUE,TRUE,334887,1f426123-4b7f-4f46-808a-763a67371762
4255,1.9,9.1,AMF,6bb6ff7a-43cb-4926-b742-7a0a83863c20,Anhydrous Milkfat,,TRUE,84271,1f78df3a-08e6-49ab-8b15-0fc28f14d55b
3667,-3.8,6.5,Butter,4a5e0d28-b61e-422e-b36a-e83be98667b7,Butter,,TRUE,60211,1f78df3a-08e6-49ab-8b15-0fc28f14d55b
3950,-1.9,0.9,BMP,5fee2981-52b4-410f-9d26-a283decb039f,Buttermilk Powders,,TRUE,8493,1f78df3a-08e6-49ab-8b15-0fc28f14d55b
4108,-2.1,3,Ched,cbf334de-544b-486f-b2a8-77e3f0c7d514,Cheddar Cheese,,TRUE,28018,1f78df3a-08e6-49ab-8b15-0fc28f14d55b
,,,LAC,,Lactose,,FALSE,,1f78df3a-08e6-49ab-8b15-0fc28f14d55b
,,,MPC70,,Milk Protein Concentrate 70,,FALSE,,1f78df3a-08e6-49ab-8b15-0fc28f14d55b
11861,4.6,1,RenCas,a3483b8e-c999-4d70-a7a6-1d88e011a049,Rennet Casein,,TRUE,9116,1f78df3a-08e6-49ab-8b15-0fc28f14d55b
3733,-3.5,21.7,SMP,50e27fad-330f-4deb-922b-6a33871d6984,Skimmilk Powders,,TRUE,200259,1f78df3a-08e6-49ab-8b15-0fc28f14d55b
3877,-1.1,57.2,WMP,5f82bb0e-6387-4fef-b7d8-19b1e22177f1,Wholemilk Powders,,TRUE,528456,1f78df3a-08e6-49ab-8b15-0fc28f14d55b
5321,-6.9,9.2,AMF,149a050d-ccf0-4cbd-99c0-11c1ec54b976,Anhydrous Milkfat,TRUE,TRUE,58325,2298e336-a2cd-41d8-8227-3c2efb6fd2e6
4392,-8.5,6.8,Butter,2aa5cbcb-e942-4f2a-a9db-c56512175bbe,Butter,TRUE,TRUE,43485,2298e336-a2cd-41d8-8227-3c2efb6fd2e6
,,,BMP,,Buttermilk Powders,FALSE,FALSE,,2298e336-a2cd-41d8-8227-3c2efb6fd2e6
3484,-4.7,4,Ched,2473ca61-3232-4e4a-9c7a-42b60aee9ab4,Cheddar Cheese,TRUE,TRUE,25411,2298e336-a2cd-41d8-8227-3c2efb6fd2e6
914,,1.1,LAC,21d8a6a1-f236-49c8-a9d5-2c50004cd2f9,Lactose,TRUE,TRUE,6979,2298e336-a2cd-41d8-8227-3c2efb6fd2e6
,,,MPC70,,Milk Protein Concentrate 70,FALSE,FALSE,,2298e336-a2cd-41d8-8227-3c2efb6fd2e6
5138,2.8,1.6,RenCas,74427f31-bea0-4d29-a608-8590ceef4e3c,Rennet Casein,TRUE,TRUE,10279,2298e336-a2cd-41d8-8227-3c2efb6fd2e6
1951,-1.3,23.4,SMP,07c6fc6a-25b9-4c41-866e-53e6d1ae2c12,Skimmilk Powders,TRUE,TRUE,149323,2298e336-a2cd-41d8-8227-3c2efb6fd2e6
,,,SWP,,Sweet Whey Powder,FALSE,TRUE,,2298e336-a2cd-41d8-8227-3c2efb6fd2e6
2883,-2.1,52.6,WMP,55457fe7-8a35-4237-8e06-d12fb247e3bb,Wholemilk Powders,TRUE,TRUE,335421,2298e336-a2cd-41d8-8227-3c2efb6fd2e6
3619,4.4,11.3,AMF,38f51022-31c4-4a69-85a8-03ac984bd82e,Anhydrous Milkfat,TRUE,TRUE,81308,2379db92-2c78-4f0c-8dcb-54718a599874
2910,5.3,7.6,Butter,48305640-e709-4780-8d29-e14464b22858,Butter,TRUE,TRUE,54510,2379db92-2c78-4f0c-8dcb-54718a599874
1695,-6.6,1.2,BMP,d420c478-c15a-4417-aed1-d00525dba5ee,Buttermilk Powders,TRUE,TRUE,8674,2379db92-2c78-4f0c-8dcb-54718a599874
