,EventDate,AveragePublishedPrice,ChangeInPriceIndex,EventDuration,MaxSupply,MinSupply,ParticipatingBidders,QualifiedBidders,QuantitySold,TotalRounds,TwelveMonthQtySold,WinningBidders,EventMonth
82,5/15/17,3313,3.2,153,22398,19130,164,553,21236,19,630025,103,5
83,6/5/17,3395,0.6,145,23566,19705,183,563,22004,16,628931,125,6
84,6/19/17,3434,-0.8,168,22464,19055,160,522,21171,21,631023,111,6
85,7/3/17,3303,-0.4,157,30043,25640,165,523,28574,19,653665,127,7
86,7/17/17,3387,0.2,145,28343,24020,160,525,26688,17,653910,115,7
87,7/31/17,3343,-1.6,126,35510,29840,162,521,32768,14,655337,129,7
88,8/14/17,3339,-0.4,118,34445,29065,174,522,32260,13,655958,140,8
89,9/4/17,3323,0.3,134,37265,31430,173,537,33501,15,635803,140,9
90,9/18/17,3368,0.9,140,37190,31540,174,539,34117,17,633885,134,9
91,10/2/17,3223,-2.4,135,39615,33610,149,541,37990,16,662459,132,10
92,10/16/17,3204,-1,137,38240,32800,165,544,35669,16,656647,137,10
93,11/6/17,3105,-3.5,129,38240,32575,165,554,35072,14,623139,133,11
94,11/20/17,2970,-3.4,114,37235,32000,160,557,35042,14,617633,139,11
95,12/4/17,3091,0.4,119,32675,27645,160,563,29514,13,651134,123,12
96,12/18/17,2969,-3.9,120,32605,27620,167,509,29592,13,648503,139,12
97,1/1/18,3124,2.2,128,27805,23005,158,516,25400,16,651407,112,1
98,1/15/18,3310,4.9,125,25915,21510,200,517,23319,14,653139,129,1
99,2/5/18,3553,5.9,138,24380,19995,188,524,22197,15,628951,126,2
100,2/19/18,3623,-0.5,125,22845,18550,152,527,20256,14,640091,114,2
101,3/5/18,3593,-0.6,162,21180,17210,174,529,19292,22,669605,130,3
102,3/19/18,3632,-1.2,115,20485,16575,170,513,18635,14,676725,125,3
103,4/2/18,3477,-0.6,137,18870,15810,169,514,17222,16,679804,123,4
104,4/16/18,3587,2.7,129,20580,17380,182,518,19262,16,680727,102,4
105,4/30/18,3465,-1.1,127,21120,17830,150,519,19508,14,658697,97,4
106,5/14/18,3637,1.9,121,19675,16610,164,527,18161,14,659621,111,5
107,6/4/18,3487,-1.3,130,23100,19680,179,519,21580,15,678690,118,6
108,6/18/18,3481,-1.2,121,23680,20220,165,522,21634,14,674997,127,6
109,7/2/18,3232,-5,115,28935,24065,152,524,26519,13,669721,118,7
110,7/16/18,3222,-1.7,125,28000,23280,168,524,25454,15,666341,126,7
111,8/6/18,3136,0,119,37675,31405,191,529,34076,13,640289,126,8
112,8/20/18,3044,-3.6,117,36230,29840,158,534,32041,13,637214,126,8
113,9/3/18,2980,-0.7,163,42505,35475,178,541,38811,19,658794,126,9
114,9/17/18,2934,-1.3,134,43200,36100,179,503,39143,15,658424,149,9
115,10/1/18,2901,-1.9,148,46905,39255,170,506,41981,15,663772,143,10
116,10/15/18,2885,-0.3,139,45780,38275,183,511,41945,15,660652,137,10
117,11/5/18,2851,-2,182,46933,39267,173,517,42412,18,635272,142,11
118,11/19/18,2727,-3.5,124,46952,39425,170,503,42966,15,635053,143,11
119,12/3/18,2819,2.2,136,40192,33360,178,507,36450,18,673864,139,12
120,12/17/18,2844,1.7,122,39022,32510,184,514,36181,13,679506,143,12
121,1/1/19,2986,2.8,149,31540,26070,167,515,28651,15,687370,115,1
