Product Type,Date of Event,Average Price (USD/MT),Change in Price Index from Previous Event,CP1 Price,CP2 Price,CP3 Price,CP4 Price,CP5 Price,CP6 Price,Total Sold Quantity
BUT,2-Nov-10,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
BMP,2-Nov-10,3011.428571,-0.0174,2900,3160,n.a.,n.a.,n.a.,n.a.,700
WMP,16-Nov-10,3447.495041,-0.0139,3462.989381,3436.402351,3428.66,n.a.,n.a.,n.a.,22180
SMP,16-Nov-10,3096.052411,0.0209,2960.702222,3129.567148,3310,n.a.,n.a.,n.a.,5953
AMF,16-Nov-10,5341.24439,-0.0181,5325.76779,5354.416667,5333.666667,n.a.,n.a.,n.a.,2451
BUT,16-Nov-10,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
BMP,16-Nov-10,3112.857143,0.0337,3115,3110,n.a.,n.a.,n.a.,n.a.,700
WMP,1-Dec-10,3556.115556,0.0263,3518.490909,3607.686842,3518.0875,n.a.,n.a.,n.a.,22500
SMP,1-Dec-10,3059.950015,0.0052,2899.222852,3150.958333,3487.066667,n.a.,n.a.,n.a.,6502
AMF,1-Dec-10,5333.498654,0.0033,5308.156222,5314.285714,5440.333333,n.a.,n.a.,n.a.,2601
BUT,1-Dec-10,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
BMP,1-Dec-10,3033.571429,-0.0255,2950,3145,n.a.,n.a.,n.a.,n.a.,350
WMP,15-Dec-10,3619.730636,0.0256,3596.875454,3651.85,3593.05,n.a.,n.a.,n.a.,22516
SMP,15-Dec-10,3127.921141,0.0243,2991.507463,3196.14,3556.721557,n.a.,n.a.,n.a.,6518
AMF,15-Dec-10,5380.453846,0.007,5330.34375,5388.6875,5536.666667,n.a.,n.a.,n.a.,3250
BUT,15-Dec-10,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
BMP,15-Dec-10,3020,-0.0045,2810,3300,n.a.,n.a.,n.a.,n.a.,350
WMP,4-Jan-11,3750.238158,0.0374,3636.615,3859.410714,3936.25,n.a.,n.a.,n.a.,19000
SMP,4-Jan-11,3491.545122,0.1087,3406.337838,3497.28,3690.253333,n.a.,n.a.,n.a.,4100
AMF,4-Jan-11,5984.401211,0.107,5976.59921,5984.642857,6015,n.a.,n.a.,n.a.,2313
BUT,4-Jan-11,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
BMP,4-Jan-11,3390,0.2064,3390,n.a.,n.a.,n.a.,n.a.,n.a.,200
WMP,18-Jan-11,3779.982353,0.005,3700.75625,3819.192857,3959.65,n.a.,n.a.,n.a.,17000
SMP,18-Jan-11,3579.243902,0.0236,3605,3546.4,3581.4,n.a.,n.a.,n.a.,4100
AMF,18-Jan-11,5946.129653,-0.0032,5969.29003,5879.928571,6104.336735,n.a.,n.a.,n.a.,2337
BUT,18-Jan-11,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
BMP,18-Jan-11,3880,0.1445,3880,n.a.,n.a.,n.a.,n.a.,n.a.,207
WMP,1-Feb-11,3994.726129,0.0571,3974.392857,4035.45,3986.533865,n.a.,n.a.,n.a.,13510
SMP,1-Feb-11,3913.269231,0.0863,3781.515152,3967.333333,4095,n.a.,n.a.,n.a.,3900
AMF,1-Feb-11,6486.051502,0.0916,6368.806419,6581.25,6621.833333,n.a.,n.a.,n.a.,2097
BUT,1-Feb-11,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
BMP,1-Feb-11,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
WMP,15-Feb-11,4319.932727,0.0787,4326.742,4422.825,4205.691667,n.a.,n.a.,n.a.,11000
SMP,15-Feb-11,3898.441525,0.0063,3926.531863,3861.466667,3911.266667,n.a.,n.a.,n.a.,3882
AMF,15-Feb-11,6323.581818,-0.0242,6284.132075,6351.8,6392,n.a.,n.a.,n.a.,2750
BUT,15-Feb-11,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
BMP,15-Feb-11,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
WMP,1-Mar-11,4618.957143,0.0959,4958,4935.228571,4291.3,n.a.,n.a.,n.a.,7000
SMP,1-Mar-11,3976.717651,0.0242,4042.250755,4077.7,3781.586369,n.a.,n.a.,n.a.,2844
AMF,1-Mar-11,6424.306705,0.0116,6427.373737,6449.776888,6378.478261,n.a.,n.a.,n.a.,2416
BUT,1-Mar-11,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
BMP,1-Mar-11,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
WMP,15-Mar-11,4104.985714,-0.1141,4336.685714,4302.828571,3890.214286,n.a.,n.a.,n.a.,7000
SMP,15-Mar-11,3816.263158,-0.0468,3759.45,3730.1,3984.470588,n.a.,n.a.,n.a.,2850
AMF,15-Mar-11,6111.05464,-0.0451,6147.972028,6178.344595,5949.875,n.a.,n.a.,n.a.,2489
BUT,15-Mar-11,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
BMP,15-Mar-11,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
WMP,5-Apr-11,3877.996667,-0.0563,3984.485714,3915.855556,3800.414286,n.a.,n.a.,n.a.,7500
SMP,5-Apr-11,3763.360445,0.0145,3980,3770,3625,n.a.,n.a.,n.a.,2336
AMF,5-Apr-11,5985.309091,-0.0174,5958.070588,6114.625,5913.875,n.a.,n.a.,n.a.,2475
BUT,5-Apr-11,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
